index,x_m,y_m,s_m
0,0.000000000,0.000000000,0.000000000
1,0.000000000,0.030000000,0.030000000
2,0.000000000,0.060000000,0.060000000
3,0.000000000,0.090000000,0.090000000
4,0.000000000,0.120000000,0.120000000
5,0.000000000,0.150000000,0.150000000
6,0.000000000,0.180000000,0.180000000
7,0.000000000,0.210000000,0.210000000
8,0.000000000,0.240000000,0.240000000
9,0.000000000,0.270000000,0.270000000
10,0.000000000,0.300000000,0.300000000
11,0.000000000,0.330000000,0.330000000
12,0.000000000,0.360000000,0.360000000
13,0.000000000,0.390000000,0.390000000
14,0.000000000,0.420000000,0.420000000
15,0.000000000,0.450000000,0.450000000
16,0.000000000,0.480000000,0.480000000
17,0.000000000,0.510000000,0.510000000
18,0.000000000,0.540000000,0.540000000
19,0.000000000,0.570000000,0.570000000
20,0.000000000,0.600000000,0.600000000
21,0.000000000,0.630000000,0.630000000
22,0.000000000,0.660000000,0.660000000
23,0.000000000,0.690000000,0.690000000
24,0.000000000,0.720000000,0.720000000
25,0.000000000,0.750000000,0.750000000
26,0.000000000,0.780000000,0.780000000
27,0.000000000,0.810000000,0.810000000
28,0.000000000,0.840000000,0.840000000
29,0.000000000,0.870000000,0.870000000
30,0.000000000,0.900000000,0.900000000
31,0.000000000,0.930000000,0.930000000
32,0.000000000,0.960000000,0.960000000
33,0.000000000,0.990000000,0.990000000
34,0.000000000,1.020000000,1.020000000
35,0.000000000,1.050000000,1.050000000
36,0.000000000,1.080000000,1.080000000
37,0.000000000,1.110000000,1.110000000
38,0.000000000,1.140000000,1.140000000
39,0.000000000,1.170000000,1.170000000
40,0.000000000,1.200000000,1.200000000
41,0.000000000,1.230000000,1.230000000
42,0.000000000,1.260000000,1.260000000
43,0.000000000,1.290000000,1.290000000
44,0.000000000,1.320000000,1.320000000
45,0.000000000,1.350000000,1.350000000
46,0.000000000,1.380000000,1.380000000
47,0.000000000,1.410000000,1.410000000
48,0.000000000,1.440000000,1.440000000
49,0.000000000,1.470000000,1.470000000
50,0.000000000,1.500000000,1.500000000
51,0.000592952,1.529817386,1.529823281
52,0.002370871,1.559587625,1.559646563
53,0.005330945,1.589263644,1.589469844
54,0.009468494,1.618798518,1.619293126
55,0.014776975,1.648145548,1.649116407
56,0.021247995,1.677258329,1.678939689
57,0.028871322,1.706090828,1.708762970
58,0.037634901,1.734597455,1.738586252
59,0.047524876,1.762733136,1.768409533
60,0.058525609,1.790453381,1.798232815
61,0.070619705,1.817714360,1.828056096
62,0.083788040,1.844472967,1.857879378
63,0.098009794,1.870686891,1.887702659
64,0.113262478,1.896314684,1.917525941
65,0.129521976,1.921315821,1.947349222
66,0.146762576,1.945650772,1.977172504
67,0.164957019,1.969281057,2.006995785
68,0.184076535,1.992169312,2.036819067
69,0.204090892,2.014279346,2.066642348
70,0.224968444,2.035576199,2.096465630
71,0.246676179,2.056026196,2.126288911
72,0.269179772,2.075597002,2.156112193
